NO,cagegory,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
23,邵氏,快活林, 3.47 GiB,1280 * 542, 1h 32mn,5378 Kbps,无字幕或内嵌字幕,快活林[邵氏出品].The.Delightful.Forest.1972.BD720P.x264.AAC5.1.国语中字.mkv,0,中国电影2_3T
24,邵氏,教头, 3.00 GiB,1280 * 720, 1h 44mn,4127 Kbps,无字幕或内嵌字幕,教头[邵氏出品].The.Kung.Fu.Instructor.1979.GER.BD.720P.x264.FLAC2.0.Mandarin.内封中英双字-CMCT.mkv,0,中国电影2_3T
25,邵氏,新独臂刀, 2.80 GiB,1280 * 720, 1h 37mn,4095 Kbps,无字幕或内嵌字幕,[新独臂刀].New.One.Armed.Swordsman.1971.BluRay.720p.x264.AC3-CMCT.mkv,0,中国电影2_3T
26,邵氏,方世玉与洪熙官, 2.40 GiB,1280 * 720, 1h 32mn,3727 Kbps,外挂中文,[方世玉与洪熙官].Heroes.Two.1974.Bluray.720p.x264.AC3.2Audios-CMCT.mkv,0,中国电影2_3T
27,邵氏,梁山伯与祝英台, 3.40 GiB,1280 * 720, 2h 6mn,3857 Kbps,无字幕或内嵌字幕,梁山伯与祝英台[邵氏出品].The.Love.Eterne.1963.BD.720P.x264.DD5.1.Mandarin.内封中字简繁-CMCT.mkv,0,中国电影2_3T
28,邵氏,残缺, 2.70 GiB,1280 * 544, 1h 44mn,3692 Kbps,无字幕或内嵌字幕,残缺.Crippled.Avengers.1978.720P.BRRiP.XVID.SUBBED-MAJESTIC.avi,0,中国电影2_3T
29,邵氏,水浒传, 1.86 GiB,1920 * 800, 2h 5mn,2130 Kbps,无字幕或内嵌字幕,水浒传.Water Margin.1972.SB.BluRay.x264.AC3.1080P.YYH3D.xt.mkv,0,中国电影2_3T
30,邵氏,江山美人, 2.13 GiB,1920 * 1080, 1h 39mn,3058 Kbps,无字幕或内嵌字幕,江山美人[邵氏出品].The.Kingdom.and.The.Beauty.1959.BD.1080P.x264.AAC5.1.Mandarin.内嵌中字简体.mp4,0,中国电影2_3T
31,邵氏,洪拳大师, 5.43 GiB,1920 * 1080, 1h 35mn,8117 Kbps,无字幕或内嵌字幕,洪拳大师.Lightning.Fists.of.Shaolin.1984.BD.1080P.x264.AAC2.0.国粤双语.内嵌特效中字简体.mp4,0,中国电影2_3T
32,邵氏,洪拳小子, 3.00 GiB,1280 * 720, 1h 47mn,4011 Kbps,无字幕或内嵌字幕,洪拳小子[邵氏出品].Disciples.Of.Shaolin.1975.BD720P.x264.DD2.0-CMCT.mkv,0,中国电影2_3T
33,邵氏,流星蝴蝶剑, 3.30 GiB,1920 * 1080, 1h 36mn,4879 Kbps,无字幕或内嵌字幕,流星蝴蝶剑[邵氏出品].Killer.Clans.1976.香港武侠古装.BD1080P.x264.AAC2.0.国语中字.mkv,0,中国电影2_3T
34,邵氏,独臂刀, 3.20 GiB,1280 * 720, 1h 55mn,3967 Kbps,无字幕或内嵌字幕,独臂刀[邵氏出品].The.One.Armed.Swordsman.1967.BD.720P.x264.DD5.1.Mandarin.内封中字简繁-CMCT.mkv,0,中国电影2_3T
35,邵氏,独臂刀王, 3.00 GiB,1280 * 720, 1h 45mn,4073 Kbps,无字幕或内嵌字幕,独臂刀王[邵氏出品].Return.of.the.One.Armed.Swordsman.1969.BD.720P.x264.DD5.1.Mandarin.内封中字简繁-CMCT.mkv,0,中国电影2_3T
36,邵氏,猩猩王, 3.51 GiB,1280 * 542, 1h 29mn,5595 Kbps,无字幕或内嵌字幕,The.Mighty.Peking.Man.1977.BluRay.720p.AC3.x264-CHD.mkv,0,中国电影2_3T
37,邵氏,疯猴, 3.47 GiB,1918 * 1080, 1h 49mn,4534 Kbps,无字幕或内嵌字幕,疯猴[邵氏出品].Mad.Monkey.Kung.Fu.1979.BDrip.1080P.x264.AAC2.0.国语中字.mp4,0,中国电影2_3T
38,邵氏,茅山僵尸拳, 3.21 GiB,1280 * 720, 1h 41mn,4508 Kbps,无字幕或内嵌字幕,茅山僵尸拳[邵氏出品].The.Shadow.Boxing.1979.BD720P.x264.FLAC2.0.国粤双语中字.mkv,0,中国电影2_3T
39,邵氏,荡寇志, 4.00 GiB,1280 * 544, 1h 41mn,5635 Kbps,无字幕或内嵌字幕,All.Men.Are.Brothers.1975.BluRay.720p.DTS.x264-CHD.mkv,0,中国电影2_3T
40,邵氏,血滴子, 3.20 GiB,1280 * 720, 1h 45mn,4344 Kbps,无字幕或内嵌字幕,[血滴子].Flying.Guillotine.1975.JPN.BluRay.720p.x264.AC3-CMCT.mkv,0,中国电影2_3T
41,邵氏,金燕子, 2.80 GiB,1280 * 720, 1h 48mn,3698 Kbps,无字幕或内嵌字幕,[金燕子]Golden.Swallow.1968.BluRay.720p.x264.AC3-CnSCG[国语无字2.8G].mkv,0,中国电影2_3T
42,邵氏,金瓶双艳, 3.44 GiB,1280 * 528, 1h 56mn,4228 Kbps,无字幕或内嵌字幕,金瓶双艳.The.Golden.Lotus.1974.720p.BluRay.DD2.0.x264-HDS.mkv,0,中国电影2_3T
43,邵氏,霹雳十杰, 2.40 GiB,1280 * 720, 1h 33mn,3669 Kbps,无字幕或内嵌字幕,[霹雳十杰(国粤双语)].Disciples.of.the.36th.Chamber.1985.Bluray.720p.x264.AC3.2Audios-CMCT.mkv,0,中国电影2_3T
44,邵氏,马永贞, 5.36 GiB,1918 * 1080, 2h 4mn,6160 Kbps,无字幕或内嵌字幕,马永贞[邵氏出品].Boxer.From.Shantung.1972.香港.动作.BD1080P.x264.AAC2.0.国语中字.mp4,0,中国电影2_3T
45,邵氏,龙虎斗, 2.60 GiB,1280 * 720, 1h 29mn,4146 Kbps,无字幕或内嵌字幕,龙虎斗.The.Chinese.Boxer.1970.JPN.BluRay.720p.x264.FLAC-CMCT.mkv,0,中国电影2_3T
46,邵氏,龙门客栈, 3.40 GiB,1280 * 720, 1h 51mn,4378 Kbps,无字幕或内嵌字幕,龙门客栈.Dragon.Inn.1967.BluRay.720p.x264.FLAC-CMCT.mkv,0,中国电影2_3T
