NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
176,欧美系列,大侦探福尔摩斯【1.2】, 6.55 GiB,1280 * 534, 2h 8mn,7279 Kbps,外挂中英,Sherlock.Holmes.A.Game.of.Shadows.2011.720p.BluRay.x264.DTS-WiKi.mkv,0,欧美系列1_2T
177,欧美系列,小鬼当家【1.2】, 4.37 GiB,1280 * 688, 1h 42mn,6083 Kbps,外挂中英,Home Alone 1990 3Li BluRay.mkv,0,欧美系列1_2T
178,欧美系列,小鬼当家【1.2】, 6.53 GiB,1280 * 692, 2h 0mn,7791 Kbps,外挂中英,小鬼当家2.Home.Alone.2.Lost.in.New.York.1992.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
179,欧美系列,尖峰时刻【1.2.3】, 4.37 GiB,1280 * 522, 1h 37mn,6388 Kbps,外挂中英,Rush.Hour.1998.BluRay.720P.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
180,欧美系列,尖峰时刻【1.2.3】, 4.37 GiB,1280 * 512, 1h 30mn,6947 Kbps,外挂中文,Rush.Hour.2.2001.720p.HDTV.x264-PoTuS.mkv,0,欧美系列1_2T
181,欧美系列,尖峰时刻【1.2.3】, 4.37 GiB,1280 * 536, 1h 30mn,6885 Kbps,外挂中英,Rush.Hour.3.2007.x264.720p.DTS.MA.BDRiP-CHD.mkv,0,欧美系列1_2T
182,欧美系列,怒火攻心【1.2】, 4.37 GiB,1280 * 694, 1h 35mn,6522 Kbps,外挂中英,Crank.2.High.Voltage.2009.BluRay.720p.DTSHD.x264-CHD.mkv,0,欧美系列1_2T
183,欧美系列,怒火攻心【1.2】, 4.37 GiB,1280 * 720, 1h 27mn,7142 Kbps,外挂中文,Crank.2006.BluRay.720p.x264.DTS-WiKi.mkv,0,欧美系列1_2T
184,欧美系列,憨豆特工【1.2】, 4.36 GiB,1280 * 692, 1h 27mn,7147 Kbps,外挂中英,Johnny.English.2003.BluRay.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
185,欧美系列,憨豆特工【1.2】, 5.50 GiB,1280 * 534, 1h 41mn,7765 Kbps,外挂中英,Johnny.English.Reborn.2011.720p.BluRay.x264.DTS-WiKi.mkv,0,欧美系列1_2T
186,欧美系列,木乃伊【1.2.3】, 5.51 GiB,1280 * 544, 2h 4mn,6317 Kbps,外挂中英,【木乃伊I-盗墓迷城】The Mummy.1999.720p.x264-CHD.mkv,0,欧美系列1_2T
187,欧美系列,木乃伊【1.2.3】, 5.51 GiB,1280 * 534, 1h 51mn,7062 Kbps,外挂中英,【木乃伊III：龙帝之墓】The Mummy Tomb of the Drag.2008.720p.x264-CHD.mkv,0,欧美系列1_2T
188,欧美系列,木乃伊【1.2.3】, 5.51 GiB,1280 * 546, 2h 9mn,6093 Kbps,外挂中英,【木乃伊II：木乃伊归来】The Mummy Returns.2001.720p.x264-CHD.mkv,0,欧美系列1_2T
189,欧美系列,猩球崛起【1.2】, 4.71 GiB,1916 * 1034, 2h 10mn,5164 Kbps,外挂中英,Dawn.Of.The.Planet.of.The.Apes.2014.1080p.WEB-DL.DD51.H264-RARBG.mkv,0,欧美系列1_2T
190,欧美系列,猩球崛起【1.2】, 5.00 GiB,1280 * 544, 1h 44mn,6824 Kbps,外挂中英,Rise.of.the.Planet.of.the.Apes.2011.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
191,欧美系列,移动迷宫【1.2】, 5.31 GiB,1280 * 534, 1h 53mn,6696 Kbps,外挂中英,The.Maze.Runner.2014.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
192,欧美系列,第一滴血【1.2.3.4】, 5.01 GiB,1280 * 546, 1h 33mn,7696 Kbps,外挂中英,第一滴血1.Rambo.First.Blood.1.1982.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
193,欧美系列,第一滴血【1.2.3.4】, 5.01 GiB,1280 * 546, 1h 35mn,7474 Kbps,外挂中英,第一滴血2.Rambo.First.Blood.2.1985.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
194,欧美系列,第一滴血【1.2.3.4】, 5.01 GiB,1280 * 546, 1h 41mn,7055 Kbps,外挂中英|外挂中文,第一滴血3.Rambo.First.Blood.3.1988.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
195,欧美系列,第一滴血【1.2.3.4】, 6.01 GiB,1280 * 534, 1h 39mn,8663 Kbps,外挂中英,第一滴血4.Rambo.First.Blood.4.2008.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,欧美系列1_2T
196,欧美系列,纳尼亚传奇【1.2.3】, 7.96 GiB,1280 * 544, 2h 23mn,7968 Kbps,外挂中英,The.Chronicles.of.Narnia.1.2005.CEE.720p.BluRay.x264-WiKi.mkv,0,欧美系列1_2T
197,欧美系列,纳尼亚传奇【1.2.3】, 6.50 GiB,1280 * 528, 2h 29mn,6204 Kbps,外挂中英,纳尼亚传奇2：凯斯宾王子.The.Chronicles.of.Narnia.Prince.Caspian.2008.BluRay.720p.x264.DTS-WiKi.mkv,0,欧美系列1_2T
198,欧美系列,纳尼亚传奇【1.2.3】, 5.98 GiB,1280 * 720, 1h 52mn,7593 Kbps,外挂中英,纳尼亚传奇3.The.Chronicles.of.Narnia.The.Voyage.of.the.Dawn.Treader.2010.Bluray.720p.DTS.x264-CHD.mkv,0,欧美系列1_2T
199,欧美系列,绝地战警【1.2】, 6.55 GiB,1280 * 688, 1h 58mn,7892 Kbps,外挂中英,Bad Boys 1995.NSS.720p.BluRay.x264.mkv,0,欧美系列1_2T
200,欧美系列,绝地战警【1.2】, 7.32 GiB,1280 * 720, 2h 26mn,7143 Kbps,外挂中英,Bad Boys 2 2003.NSS.720p.BluRay.x264.mkv,0,欧美系列1_2T
201,欧美系列,罗汉三部曲【1.2.3】, 4.36 GiB,1280 * 534, 1h 56mn,5361 Kbps,外挂中英,Ocean's.Eleven.2001.BluRay.720p.ac3.x264-CHD.mkv,0,欧美系列1_2T
202,欧美系列,罗汉三部曲【1.2.3】, 4.36 GiB,1280 * 534, 2h 2mn,5115 Kbps,外挂中英,Ocean's.Thirteen.2007.BluRay.720p.ac3.x264-CHD.mkv,0,欧美系列1_2T
203,欧美系列,罗汉三部曲【1.2.3】, 4.37 GiB,1280 * 534, 2h 5mn,4987 Kbps,外挂中英,Ocean's.Twelve.2004.BluRay.720p.ac3.x264-CHD.mkv,0,欧美系列1_2T
204,欧美系列,蜘蛛侠【1.2.3】, 4.37 GiB,1280 * 534, 2h 15mn,4610 Kbps,外挂中英,Spider-Man 2 2004 720p BluRay DTS x264-SilverTorrentHD.mkv,0,欧美系列1_2T
205,欧美系列,蜘蛛侠【1.2.3】, 4.37 GiB,1280 * 696, 2h 1mn,5161 Kbps,外挂中英,Spider-Man.2002.BDRip.x264-CHD.mkv,0,欧美系列1_2T
