NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
500,中国系列,最佳损友【1.2】, 3.00 GiB,1280 * 720, 1h 38mn,4378 Kbps,无字幕或内嵌字幕,[最佳损友闯情关].The.Crazy.Companies.2.1988.BluRay.720p.x264.FLAC.2Audios-CMCT.mkv,0,中国系列1_2T
501,中国系列,机动部队【1.2.3.4.5.6】, 2.30 GiB,1280 * 720, 1h 27mn,3747 Kbps,无字幕或内嵌字幕,PTU.2003.BluRay.720p.AC3.2Audio.x264-CnSCG.mkv,0,中国系列1_2T
502,中国系列,机动部队【1.2.3.4.5.6】, 2.40 GiB,1280 * 720, 1h 30mn,3810 Kbps,无字幕或内嵌字幕,Tactical.Unit.Comrades.In.Arms.2009.BluRay.AC3.2Audio.x264-CnSCG.mkv,0,中国系列1_2T
503,中国系列,机动部队【1.2.3.4.5.6】, 2.30 GiB,1280 * 720, 1h 27mn,3762 Kbps,无字幕或内嵌字幕,Tactical.Unit.Human.Nature.2008.BluRay.720p.AC3.2Audio.x264-CnSCG.mkv,0,中国系列1_2T
504,中国系列,机动部队【1.2.3.4.5.6】, 2.40 GiB,1280 * 720, 1h 29mn,3859 Kbps,无字幕或内嵌字幕,Tactical.Unit.No.Way.Out.2008.BluRay.720p.AC3.2Audio.x264-CnSCG.mkv,0,中国系列1_2T
505,中国系列,机动部队【1.2.3.4.5.6】, 2.40 GiB,1280 * 720, 1h 30mn,3812 Kbps,无字幕或内嵌字幕,Tactical.Unit.Partners.2009.BluRay.720p.AC3.2Audio.x264-CnSCG.mkv,0,中国系列1_2T
506,中国系列,机动部队【1.2.3.4.5.6】, 2.40 GiB,1280 * 720, 1h 30mn,3803 Kbps,无字幕或内嵌字幕,Tactical.Unit.The.Code.2008.BluRay.720p.AC3.2Audio.x264-CnSCG.mkv,0,中国系列1_2T
507,中国系列,杀破狼【1.2】, 3.64 GiB,1280 * 720, 1h 59mn,4342 Kbps,无字幕或内嵌字幕,SPL.2.A.Time.for.Consequences.2015.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv,0,中国系列1_2T
508,中国系列,杀破狼【1.2】, 4.37 GiB,1280 * 720, 1h 32mn,6736 Kbps,外挂中文,chd-spl-720p-2audio-dts-bdrip.mkv,0,中国系列1_2T
509,中国系列,李碧华鬼魅系列【1.2】, 2.50 GiB,1280 * 720, 1h 27mn,4094 Kbps,无字幕或内嵌字幕,[奇幻夜]Tales.from.the.Dark.2.2013.BluRay.720p.x264.AC3-CnSCG[粤语中字2.5G].mkv,0,中国系列1_2T
