No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
228,阴阳刀, 1.36 GiB,716 * 368, 1h 48mn,1802 Kbps,DVD(O-Z),,阴阳刀.Twin.Blades.Of.Doom.1969.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
229,雪儿, 1.37 GiB,716 * 464, 1h 27mn,2249 Kbps,DVD(O-Z),,雪儿.Cherie.1984.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv
230,霹雳拳, 1.37 GiB,712 * 368, 1h 31mn,2147 Kbps,DVD(O-Z),,霹雳拳.Thunderbolt.Fist.1972.R1.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv
231,青春1000日, 698 MiB,716 * 448, 1h 32mn,1052 Kbps,DVD(O-Z),,青春1000日.The.Pure.and.the.Evil.1982.R3.SB.DVDRip.x264.2Audio.AAC.iNT-NowYS.mkv
232,青蛙王子, 1.36 GiB,704 * 464, 1h 32mn,2118 Kbps,DVD(O-Z),,青蛙王子.Prince.Charming.1984.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv
233,香江花月夜, 1.36 GiB,640 * 272, 2h 3mn,1582 Kbps,DVD(O-Z),,香江花月夜.Hong.Kong.Nocturne.1967.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv
234,香港七十三, 1.36 GiB,716 * 352, 1h 35mn,2050 Kbps,DVD(O-Z),,香港七十三.Hong.Kong.73.1973.R3.SB.DVDRip.x264.2Audio.AC3.iNT-NowYS.mkv
235,鱼美人, 697 MiB,716 * 368, 1h 35mn,1024 Kbps,DVD(O-Z),,鱼美人.The.Mermaid.1965.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
236,鸳鸯剑侠, 1.37 GiB,716 * 368, 1h 28mn,2211 Kbps,DVD(O-Z),,鸳鸯剑侠.The.Twin.Swords.1965.R3.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
237,鹰王, 1.36 GiB,712 * 352, 1h 49mn,1783 Kbps,DVD(O-Z),,鹰王.King.Eagle.1970.R1.SB.DVDRip.x264.AC3.iNT-NowYS.mkv
