NO,cagegory,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
113,电影频道录制版,阿金的故事, 2.62 GiB,1234 * 720, 1h 26mn,4344 Kbps,无字幕或内嵌字幕,阿金的故事.1996.HDTVRip.720P.x264.ac3.mkv,0,中国电影2
114,电影频道录制版,阿龙浴血记, 2.72 GiB,1218 * 720, 1h 30mn,4312 Kbps,无字幕或内嵌字幕,阿龙浴血记.1986.HDTVRip.720P.x264.ac3.mkv,0,中国电影2
115,电影频道录制版,雷锋, 3.03 GiB,1280 * 720, 1h 17mn,5625 Kbps,无字幕或内嵌字幕,雷锋.【1964】CCTV6.HDTV.720P.X264.AAC.mp4,0,中国电影2
116,电影频道录制版,非法持枪者, 3.64 GiB,1920 * 1078, 1h 27mn,5954 Kbps,无字幕或内嵌字幕,非法持枪者.1989 峨影CCTV6高清 1080P.mkv,0,中国电影2
117,电影频道录制版,革命家庭, 4.98 GiB,1920 * 1080, 1h 34mn,7537 Kbps,无字幕或内嵌字幕,革命家庭.1961.CCTV6HD.1080i.ts,0,中国电影2
118,电影频道录制版,风尘女侠吕四娘, 4.49 GiB,1920 * 1080, 1h 33mn,6847 Kbps,无字幕或内嵌字幕,风尘女侠吕四娘.1988 长影 CCTV6高清版.ts,0,中国电影2
119,电影频道录制版,鬼太监, 4.20 GiB,1280 * 720, 1h 34mn,6386 Kbps,无字幕或内嵌字幕,鬼太监.【1971】CCTV6.HDTV.720p.x264-CHDTV.mkv,0,中国电影2
120,电影频道录制版,鸡毛信, 1.21 GiB,1280 * 720, 1h 15mn,2299 Kbps,无字幕或内嵌字幕,鸡毛信.【1954】CCTV6.720p.mkv,0,中国电影2
121,电影频道录制版,黄河大侠, 4.33 GiB,1280 * 720, 1h 28mn,6976 Kbps,无字幕或内嵌字幕,黄河大侠.【1988】CCTV6.HDTV.720P.mkv,0,中国电影2
122,电影频道录制版,黑雪, 2.70 GiB,1280 * 720, 1h 33mn,4129 Kbps,无字幕或内嵌字幕,黑雪.1992.HDTVRip.720P.x264.ac3.mkv,0,中国电影2
123,电影频道录制版,龙虎戏凤, 3.92 GiB,1920 * 1080, 1h 22mn,6840 Kbps,无字幕或内嵌字幕,龙虎戏凤.(郑裕玲万梓良)都市爱情-.ts,0,中国电影2
124,电影频道录制版,一代妖后, 4.69 GiB,1920 * 1080, 1h 29mn,7536 Kbps,无字幕或内嵌字幕,一代妖后.1989.CCTV6HD.1080i.TS,0,中国电影2
125,电影频道录制版,三毛从军记, 2.81 GiB,1280 * 720, 1h 30mn,4450 Kbps,无字幕或内嵌字幕,三毛从军记.1992.CCTV1.mkv,0,中国电影2
126,电影频道录制版,上海滩-上, 5.38 GiB,1920 * 1080, 1h 42mn,7508 Kbps,无字幕或内嵌字幕,上海滩-上.CCTV6HD.1080i.X264.AC3.NC.ts,0,中国电影2
127,电影频道录制版,上甘岭, 5.87 GiB,1920 * 1080, 2h 2mn,6883 Kbps,无字幕或内嵌字幕,上甘岭.(1956年).ts,0,中国电影2
